time,close
2014-01,15.4
2014-02,15.6
2014-03,15.6
2014-04,15.6
2014-05,15
2014-06,13.6
2014-07,13
2014-08,12.7
2014-09,12.7
2014-10,12.3
2014-11,12.3
2014-12,11.8
2015-01,10.6
2015-02,10.7
2015-03,10.9
2015-04,10.3
2015-05,9.5
2015-06,10.5
2015-07,11.5
2015-08,12.2
2015-09,13.2
2015-10,11.9
2015-11,11.9
2015-12,11.8
2016-01,11.4
2016-02,10.8
2016-03,9.7
2016-04,11.1
2016-05,10.9
2016-06,10.6
2016-07,9.9
2016-08,9.4
2016-09,9.9
2016-10,10.2
2016-11,9.7
2016-12,9.6
2017-01,9.5
2017-02,9.6
2017-03,9.9
2017-04,9.4
2017-05,11.1
2017-06,11.8
2017-07,12.3
2017-08,12.8
2017-09,12
2017-10,11.6
2017-11,12.5
2017-12,11.9
2018-01,12.4
2018-02,12.5
2018-03,12.4
2018-04,13.1
2018-05,11.6
2018-06,11.2
2018-07,11.9
2018-08,10.8
2018-09,9.8
2018-10,10.6
2018-11,10.9
2018-12,10.4
2019-01,10.6
2019-02,10.6
2019-03,10.9
2019-04,10.6
2019-05,11.5
2019-06,11.6
2019-07,11.9
2019-08,12
2019-09,12
2019-10,12
2019-11,12.5
2019-12,13.3
2020-01,13.6
2020-02,13.6
2020-03,14
2020-04,14.8
2020-05,17.2
2020-06,12.2
2020-07,11.6
2020-08,12.4
2020-09,12.5
2020-10,12.4
2020-11,12.6
2020-12,12.7
2021-01,13.5
2021-02,13
2021-03,13.2
2021-04,13.7
2021-05,13.3
2021-05,13.5
2021-07,13.7
2021-08,13.4
2021-09,13.7
2021-10,13.6
2021-11,14
2021-12,14.9
2022-01,15.1
2022-02,15.7
2022-03,16
2022-04,17.5
2022-05,17.5
2022-06,16.7
2022-07,16.9
2022-08,17.8
2022-09,17.2
2022-10,17
2022-11,17.8
2022-12,18.4
2023-01,17.8
2023-02,17.4
2023-03,17.4
2023-04,17.4
2023-05,17.3
2023-06,15
2023-07,15.5
2023-08,16.7
2023-09,15.9
2023-10,15.7
