m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.2,2.4,1.1,3.7,2.7,1,2.3,2.9,1.9,1.9
생산량,10.6,8.2,17.6,13.1,11.6,16,17,16.1,17,15.6
수입량,2.2,2.2,-,0.2,0.4,-,-,0.1,0.1,0.1
곡물총량,15,12.9,18.7,17,14.8,17,19.2,19.1,19,17.5
음식소비,5.3,4.9,5.3,5.6,5.7,5.8,6,6.4,6.2,6.2
사료소비,6,5.6,6.5,5.9,5.9,5.6,5.5,6.3,6.8,6.3
산업소비,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
기타소비,0.5,0.4,0.7,0.6,0.6,0.7,0.8,0.7,0.7,0.7
총소비량,11.9,10.9,12.7,12.2,12.3,12.2,12.5,13.6,13.9,13.4
수출량,0.7,0.8,2.3,2.1,1.4,2.5,3.8,3.6,3.2,2.5
내년이월,2.4,1.1,3.7,2.7,1,2.3,2.9,1.9,1.9,1.7
